iter	Passed	Remaining
0	213	85317
1	269	53581
2	324	42933
3	379	37552
4	434	34293
5	487	32022
6	540	30372
7	591	28982
8	639	27765
9	684	26701
10	736	26039
11	781	25283
12	831	24767
13	878	24220
14	931	23915
15	978	23472
16	1020	23001
17	1065	22613
18	1111	22279
19	1156	21971
20	1201	21688
21	1254	21546
22	1308	21441
23	1359	21293
24	1407	21119
25	1454	20928
26	1497	20694
27	1546	20545
28	1594	20395
29	1641	20245
30	1687	20081
31	1737	19985
32	1790	19910
33	1843	19847
34	1895	19769
35	1944	19661
36	1995	19576
37	2042	19457
38	2090	19346
39	2138	19247
40	2182	19114
41	2229	19005
42	2276	18903
43	2320	18778
44	2364	18651
45	2408	18532
46	2456	18449
47	2502	18354
48	2547	18246
49	2597	18179
50	2645	18103
51	2689	17999
52	2737	17924
53	2790	17879
54	2842	17830
55	2887	17739
56	2937	17675
57	2986	17610
58	3034	17539
59	3078	17446
60	3129	17392
61	3177	17321
62	3220	17227
63	3267	17153
64	3312	17070
65	3357	16991
66	3401	16906
67	3449	16841
68	3495	16768
69	3542	16698
70	3586	16620
71	3628	16530
72	3679	16482
73	3719	16387
74	3768	16329
75	3814	16262
76	3862	16200
77	3912	16152
78	3965	16111
79	4014	16058
80	4064	16007
81	4109	15935
82	4158	15881
83	4205	15820
84	4250	15751
85	4290	15665
86	4339	15612
87	4391	15569
88	4519	15791
89	4602	15853
90	4652	15797
91	4711	15774
92	4760	15715
93	4869	15851
94	4968	15952
95	5044	15973
96	5129	16024
97	5205	16042
98	5267	16015
99	5316	15949
100	5368	15892
101	5423	15843
102	5475	15787
103	5525	15727
104	5582	15684
105	5637	15636
106	5695	15596
107	5748	15541
108	5802	15490
109	5861	15453
110	5917	15406
111	5975	15365
112	6036	15332
113	6088	15274
114	6143	15224
115	6196	15171
116	6247	15111
117	6297	15049
118	6351	14999
119	6400	14935
120	6454	14881
121	6500	14813
122	6550	14751
123	6600	14691
124	6649	14627
125	6695	14560
126	6745	14501
127	6798	14446
128	6851	14393
129	6905	14341
130	6958	14288
131	7015	14242
132	7070	14194
133	7124	14142
134	7179	14092
135	7228	14031
136	7282	13980
137	7336	13929
138	7386	13869
139	7440	13817
140	7492	13762
141	7545	13709
142	7596	13653
143	7646	13593
144	7700	13543
145	7757	13496
146	7812	13446
147	7864	13390
148	7919	13341
149	7976	13293
150	8027	13237
151	8083	13189
152	8140	13142
153	8197	13094
154	8249	13038
155	8300	12982
156	8355	12931
157	8407	12877
158	8457	12819
159	8509	12764
160	8561	12709
161	8614	12656
162	8669	12604
163	8723	12553
164	8779	12503
165	8834	12453
166	8887	12399
167	8942	12349
168	8999	12300
169	9049	12243
170	9100	12187
171	9147	12126
172	9199	12071
173	9248	12013
174	9301	11958
175	9350	11900
176	9410	11856
177	9462	11801
178	9511	11742
179	9563	11688
180	9612	11630
181	9680	11594
182	9737	11546
183	9787	11489
184	9841	11437
185	9892	11381
186	9946	11329
187	10000	11277
188	10057	11227
189	10113	11177
190	10164	11121
191	10216	11067
192	10264	11009
193	10310	10947
194	10363	10895
195	10413	10838
196	10464	10783
197	10515	10727
198	10568	10674
199	10620	10620
200	10676	10569
201	10730	10517
202	10785	10467
203	10836	10411
204	10886	10355
205	10938	10301
206	10993	10249
207	11050	10200
208	11113	10156
209	11169	10105
210	11270	10095
211	11431	10137
212	11542	10133
213	11673	10146
214	11762	10120
215	11835	10082
216	11914	10047
217	11980	10001
218	12035	9947
219	12090	9892
220	12147	9838
221	12201	9783
222	12254	9727
223	12303	9666
224	12353	9608
225	12401	9548
226	12451	9489
227	12501	9430
228	12546	9369
229	12593	9308
230	12646	9251
231	12693	9191
232	12746	9135
233	12793	9076
234	12843	9017
235	12887	8955
236	12936	8897
237	12978	8833
238	13024	8773
239	13071	8714
240	13116	8653
241	13162	8593
242	13211	8535
243	13257	8476
244	13309	8420
245	13363	8365
246	13422	8314
247	13479	8261
